Gh'éra öna ölta C'era una volta
öna tuśa    una ragazza
öna laźźaruna, öna laźźaruna!	tanto lazzarona
pica ala pórtå	bussano alla porta
ål rìå gliò tré òmegn	
giü grànt	uno grande
istìt de négher	vestito di nero
èc	vecchio
cóla bàrbå	con la barba
istìt de négher	vestito di nero
giü	un altro
söi sinquànt'àgn	sui cinquant'anni
sö apénå ti pér de barbìs	solo con i baffi
istìt de biànch e de négher	vestito di bianco e di nero
pò 'l rìå ü bèl śuenòt	poi un bel giovanotto
istìt tüt de biànch	vestito tutto di bianco
e chèl vèc ål ghe dìs:	il vecchio dice:
— tulé sö	— prendete
la sàpå	la zappa
sapù	il piccone
e 'l badìl	e il badile
e 'ndóm con nóter —	e venite con noi —
e lùr i gh'à dìt:	loro hanno risposto:
— ah nò èh!	— ah no!
tulé sö la sàpà	prendete voi la zappa
ol badìl	il badile
e 'l sapù	e il piccone
e purtévie	e portateli
che nóter åm 'gnirà con vóter	noi vi seguiremo
— eéh	— eh
'lura lùr i à töt sö i sò attrèssi	così quelli hanno preso gli attrezzi
— è 'ndóm on cantìnå con nóter —	— venite in cantina con noi —
è pasàt gió 'n d'ü soteràneo	sono passati da un sotterraneo
gió gió gió	giù e giù
quàndo è stàt gió 'n de 'sto soteràneo	quando sono arrivati in fondo
i ghe dà 'n di mà	danno loro in mano
sàpå e sapù	zappa, piccone
e badìl	e badile
i ghe dìs:	e dicono:
— adès sapé! —	— adesso zappate! —
e lùr i ghe dìs: — nò èh	loro rispondono: — ah no
saparé pò se 'l ve par! —	zapperete voi se vi pare! —
'lura i s'è metìt dré	quelli si sono messi
'l vècio piö tànt	il vecchio di più
e pà a' chèl óter	ma anche l'altro
i s'è metìt dré a sapà	a zappare
e a sapunà	e a dar colpi di piccone
e a śbadilà	e di badile
i à fàt gió ü büs	hanno fatto un buco
ma profónt, profónt	molto profondo
quàndo che è ri-àt gió	laggiù
al gh'érå cóme ünå càså gràndå	c'era una grande cassa
e i ghe dìs:	quelli dicono:
— davrì chèlå càså gliò!	— aprite questa cassa!
— ah nò èh!	— ah no!
me l' davrìs mìa nóter	noi non l'apriamo
la davriré pò óter se 'l ve pàr!	l'aprirete voi se vi pare!
i à davrìdå	l'hanno aperta
dunque gh'érå śgió	c'erano
tré sedèi	tre secchi
de ór	pieni di oro
tüt tré	tutti e tre
pie de ór	pieni di oro
e i gh'à dìt:	quelli hanno detto:
— tiréi sö!	— tirateli su!
— ah nò èh!	— ah no
tirarì pò sö óter! —	li tirerete su voi! —
ogliùrå i n'à töt sö giü per ü lùr	così loro ne han tirato su uno ciascuno
e i à tràc	e li han portati
sö 'n cantina	in cantina
e 'l vèc ål gh'à dìt:	e il vecchio ha detto:
— mé	— io
sarés ol nóno	sono il nonno
só chèl che à rubàt 'ostå palassìnå ché	quello che ha rubato questo palazzo
con tüt 'osto ór	con tutto l'oro
e l'ó rubàdå	l'ho rubata
dunque mé	dunque io
só a ca dol di-àol	sono a casa del diavolo
só pròpe a l'inféren complèto	sono proprio nel profondo inferno
chèsto l'è 'l mé fiöl	questo è mio figlio
ål gh'éå 'l süspèt	aveva il sospetto
che mé l'é-e rubàdå	che avessi rubato
sügùr sügür	sicuro
l'érå mìå	non era del tutto
però 'l la pensà-å	però lo pensava
ma l'à mài dìt ni-ént	non mi ha mai detto niente
per eredità 'stå palassìnå ché	per ereditare il palazzo
con tüt 'osto ór che	con tutto quest'oro
chèsto 'nvéce istìt de biànch	questo invece vestito di bianco
l'è 'l neùt	è il nipote
chèsto — 'l dìs — l'è innocènte compléto	lui è del tutto innocente
lü l'è pròpe stàt	è sempre stato
in buòna féde compléto	in perfetta buona fede
pensà-å pròpe che l'érå nòså	e pensava proprio che il palazzo fosse nostro
dunque	dunque
mé só al'Inféren	io sono all'inferno
lü l'è al Purgatorio	lui è al purgatorio
'l mé neùt l'è 'n Paradìs	mio nipote è in paradiso
adès	adesso
'sti tré sedèi de ór che	di questi tre secchi di oro
giü	uno
ghe l' dé	lo date
ai pu-arèc od la cità	ai poveri della città
perchè gh'è tanti poveri	perché ce ne sono tanti
e 'l distribuì	e lo distribuite
'm pó per ü	un po' ciascuno
ün óter sedèl	un altro
ghe l' dé ala céśå	lo date alla chiesa
perchè l'al mèritå la céśå	lo merita anche lei
perchè che 'm gh'à rubàt anche ala céśå	perché abbiamo rubato anche alla chiesa
chèl óter sedèl	quell'altro
ål tignì óter perchè se l'é meritàt	lo tenete voi perché ve lo siete meritato
e tüt 'ostå palassìnå	tutto questo palazzo
tüc ì dintorni	con i dintorni
e óltre li promèse dol rè	oltre quello che vi ha promesso il re
l'è tüt vòs'	è roba vostra
e pènse che viviré	e penso che vivrete
felici e contènti	felici e contenti
e nóter åm se sàlvå tüc	noi ci salveremo tutti
e m'endarà tüc on Paradìs —	andremo in paradiso —
e la stòriå l'è finìdå	e la storia è finita
Gh'éra üna ólta	C'erano una volta
ü rè	un re
e üna regìnå	e una regina
i gh'éå	avevano
dù tuśèi	due figli
tùs e üna tùśa	un bambino e una bambina
pòta dopo	poi
'sti dù tuśilì	questi
è 'gnìc on punì grandilì	si son fatti grandicelli
e pò la màmå l'è mórtå	e la mamma è morta
ol rè	il re
l'è stàt om pó lé ma de per lü con de 'sti dù	è rimasto per un po' da solo con i due
tuśilì 'l sìa mìa cume fà gna' lü	figli, ma neppure lui sapeva come fare
bé' gliùrå	allora
l'à spusàt ün'ótrå fónnå	ha sposato un'altra donna
e 'stà madrìgnå 'nfati la ghe uréå mìå bé	questa matrigna non voleva bene ai figli
lé la uréå cumandài	pensava solo a comandarli
lé la śgi a picà-å	li picchiava
e pò la i a urìå mìå 'n d'üna bùnå paròla	in una parola non li voleva
ogliùrå ünå óltå	così una volta
l'éra amìcå d'üna strégå	era amica di una strega
e 'stå strégå la gh'à dìt essè:	questa strega le ha detto:
— fà chèl che te diśe mé	— fai quello che ti dico
per liberàs di dù tuśèi	per liberarti dei due bambini
ciàpå ü bèl cestèllo di vimini	prendi un bel cestello di vimini
te i mètet gió tüddù	mettili dentro tutti e due
e te i mètet	e lasciali
söl'àcquå che cùr al mulì	sull'acqua che corre al mulino
che quàndo i rìa al mulì	così quando ci arrivano
i 'é déter on da rödå	vanno nella ruota
e te sé sügürå che alméno i è mórc	e sei sicura che moriranno
gliùra lé la l'à fàt	così lei ha fatto
la i à metìt sö söl laùr po'	li ha messi nel cestello, poi
la l'à 'nvi-àt là	l'ha spinto
stàc apénå 'nvi-ài là	da poco andavano
chèl dol mulì l'à ìst	e quello del mulino ha visto
che i éra söl'àcquå che curì-å	che correvano sull'acqua
quàndo ca l'è ri-àt	quando è arrivato il cestello di vimini
'l gi à ciapàc	l'ha preso
ciàpå 'l sò cestèllo di vimini	prende su il cestello di vimini
e 'l vèch che gh'è gió dùe bambini	e ha visto che c'erano dentro due bambini
gliùrå 'l gi à töi fò	allora li ha tolti
'l gi à metìc ogliò 'n da sò cuśìnå	li ha portati nella sua cucina
'l gi à tignìc om pó	e li ha tenuti per un bel po'
tantèl ossé	tanto così
stàc che l'è stàc	quando sono stati
bèi grànc al gh'à dìt ossè: — sculté tuśèi	bei grandi, ha detto loro: — ascoltate figlioli
adès — ål dìs — mé só papà śgiamò de sèt	io sono già padre di sette
óter adès sé grànc	voi adesso siete grandi
püdì	potete
rangiàs om pó a' de per vóter	arrangiarvi un po' anche da soli
o só mìa mé — 'l dìs —	io non so
adès — ål dìs — gh'è de deśmes-ciàs fò —	ora dovete sbrigacela —
difati lùr i śgi à ringrassiàc	loro l'hanno ringraziato
i gh'à dìt: — quàndo che	gli hanno detto: — quando
nóter	noi
åm sarà 'n punì al potere	ne avremo la possibilità
'm sercarà de cuntracambià	cercheremo di contraccambiare
chèl che óter 'ì fàt per nóter —	quello che avete fatto per noi —
è 'ndàc	e sono andati
e i à fàt om pó de fürtünå, i à lauràt	han fatto un po' di fortuna, hanno lavorato
lé la laurà-å d'üna bàndå	lei da una parte
chèl tùs al laurà-å de l'ótrå dì módo che	e il ragazzo da un'altra, così che
i à	hanno
fàt sö 'n pìcol albèrgo	costruito un piccolo albergo
pìcol ma bèl	piccolo ma bello
la sò madrìgnå	la matrigna
l'al séå che éra i fiöi del sò marito	sapeva che erano i figli di suo marito
e gliùrå	allora
la diśéå: « madónå cume i è granc	diceva: — madonna, come sono grandi
ma che bèi tuśèi e...! »	ma che bei ragazzi! —
e la strégå la gh'à dìt:	e la strega le ha detto:
— té! àrda che se 'l vé a saél	— guarda che se viene a saperlo
ol tò òm	tuo marito
che i è i sò fiöi	che sono i suoi figli
te sé sügürå che 'l te còpå	sei sicura che ti ammazza
e àdå che adès	adesso
ål pöl saltà fò	può essere scoperto
chèl che té t'é fàt	quello che tu hai fatto
té te sé 'n perìcol	sei in pericolo
— madóna — la dìs —	— madonna
fà pò chè? —	cosa faccio?
la dìs: — te 'nsigne mé	— ti insegno io
sö 'n d'ünà muntàgnå — la gh' dìs —	su una montagna
gh'è sö	c'è
ü castèllo fatato	un castello fatato
màndei sö a t'ö	mandali lassù a prendere
l'àlbero-che-se-àlså-e-che-se-śbàså	l'albero-che-si-alza-e-si-abbassa
— te gh'é fàt bé — la dìs — a dimlo —	— hai fatto bene a dirmelo —
la séra la 'à gliò	di sera va all'albergo
'nsèma 'l rè	insieme al re
perchè l'endà-å sémper	perchè lui ci andava sempre
sémper, che 'l ghe uréå bé a 'sti dù tuśèi	voleva bene a questi due ragazzi
pòtå lü 'l la sìa mìa che éra i sò fiöi ma	non sapeva che erano figli suoi ma
'l béne patèrno 'l gh'è l'istès	il bene paterno c'era ugualmente
e la ghe dìs:	lei dice:
— ma éå cóme gh'ì che bèl	— ma come è bello qui
ma pròpe bèl!	proprio bello!
però 'l ve manca argótå	però vi manca qualcosa
— él chè che me màncå?	— che cosa ci manca?
— ål ve mancarés	— vi manca
l'àlbero-che-se-àlså-e-che-se-śbàså	l'albero-che-si-alza-e-si-abbassa
— madóna 'ndo ś' vài a töl?	— madonna, dove si va a prenderlo?
pò dòpo — 'l dìs — åm sè amò pu-arèc, åm pöl mìå	siamo ancora poveri, non possiamo averlo
— nò nò — la dìs —	— no no
mè 'ndà sö 'n da tala muntàgnå	bisogna andare sulla tal montagna
gh'è sö ü castèl	c'è un castello
gliò ś' và de déter	si entra
e ś' và a töi	e si va a prenderlo
'sto fiöl al fà:	il ragazzo dice:
— mé 'ndó! —	— io vado! —
la sò surèlå però	la sorella però
l'à capìt che gh'érå ü tranèl:	ha capito che c'era un tranello
— và mìå!	— non andare!
— nò 'ndó! —	— no, vado! —
e 'l gh'à dìt: — scùltå	ha aggiunto: — ascolta
ada che mète — 'l dìs —	guarda che metto
on dol mür	nel muro
'sto curtèl	questo coltello
mé — 'l dìs — dumà de sérå	io domani sera
gh'ó de és là sö	devo essere già lassù
'n de 'sto castèl	in quel castello
se te tìret fò che 'l curtèl l'è 'nsanguinét	se estrai il coltello insanguinato
ségn che só mórt	è segno che sono morto
se l'è mìa 'nsanguinét	se non è insanguinato
ségn che só salvo —	è segno che sono salvo —
e l'è partìt	ed è partito
la séra	alla sera
l'è ri-àt	è arrivato
sö dré ala muntàgnå	in un posto su per la montagna
dré al mùt on sö tànt	tanto in su
ma 'l püdìa mìa pruseguì 'l viàs	ma non poteva proseguire il viaggio
e gh'éra sö	c'era
öna pìcula caśèta che gh'éra déter	una piccola casetta con dentro
cume ün eremìtå	come un eremita
è 'ndàt déter a dumandàgå alòśgio	è entrato a chiedere alloggio
e 'l gh'à dìt:	e quello gli ha detto:
— ma 'ndù-e 'ndét pò té?	— ma dove vai?
— öe 'ndà — 'l dìs — a lo l'àlbero-che-se-àlså-e-che-se-śbàså	— voglio andare a prendere l'albero-che-si-alza-e-si-abbassa
— tùrnå 'ndré — 'l dìs — perchè àrdå che	— torna indietro perché guarda che
mé — 'l dìs — n'ó ìst tàc	ne ho visti tanti
e tàc a pasà	e tanti passare
n'ó mài ìst nigü a turnà 'ndré	ma non ho mai visto nessuno tornare indietro
— nò — 'l dìs — 'ó sö!	— no, salgo!
— àrdå — 'l dìs — che gliò — 'l dìs — gh'è ü tranèl	— guarda che là c'è un tranello
tùrnå 'ndré	torna indietro
ascùltem mé!	ascoltami!
— e nò	— no
ondó l'istès!	vado ugualmente!
— gliùrå — 'l dìs — ascùltem mé	— allora stai attento
arda che quàndo che té ta davriré	quando aprirai
chèl castèl ogliò	la porta del castello
te ediré, ål te 'gnirà d'encùtrå	vedrai che ti verranno incontro
ballarine	ballerine
śuenòc che càntå	giovanotti che cantano
de chi che càntå, de chi che sónå	e che suonano
tüc che te ciamarà	tutti ti chiameranno
tüc che te tirarà	ti tireranno
i te dirà: « àrdel ché che bèl àlbero! »	ti diranno « guarda che bell'albero! »
ma scùltei mìå	non ascoltarli
te 'ndé de sùrå	sali di sopra
te 'ndé fìnå sö 'n sìmå	fino in cima
sö 'n sìmå te tru-aré tüt fósch	troverai tutto buio
te paset déter d'ü curidùr	passerai in un corridoio
fósch, fósch	buio buio
te 'ndé déter on fónt	entra fino in fondo
déter on fónt ål ghe sarà déter dóla térå	là ci sarà della terra
brütå	brutta
bagnàdå	bagnata
strüśgia	sporca
ghe sarà déter	dentro ci saranno
tate piantiline	tante pianticelle
tüte sèche	tutte secche
àride	aride
sporche	sporche
te n' töet sö una de chile	prendi una di quelle
e te turnet ondré	e torna indietro
ma però óltes mài 'ndré per quàt ch'i te ciàmå	però non voltarti mai per quanto ti chiamino
óltes ondré mìå perchè se te se óltet ondré	non voltarti altrimenti
guài a té!	guai a te!
— dübita mìå — 'l dis — che faró cume te m'é dìt	— non dubitare farò come tu m'hai detto
ål rìå sö	arriva lassù
ål pìcå — avanti! —	bussa — avanti! —
e i cumìnciå: — onduè 'ndét? —	cominciano: — dove vai? —
e gliò	e lì
pié de acogliènse	gli fanno tanta accoglienza
e giü che 'l ciàmå	uno lo chiama
e giü che ga ufrìs de bìe	uno gli offre da bere
chèl óter che ga ufrìs de mangià	quell'altro da mangiare
de balà	da ballare
tüt	di tutto
l'esculta nigü	lui non ascolta nessuno
e i l' ciamà-å fò dedré	lo chiamano da dietro
'l s'è mài giràt	non s'è mai girato
ål và inàs	va avanti
al gh'è ri-àt lü a ri-à fìnå sö	è riuscito ad arrivare fino
'nduè 'l gh'ìa dìt 'osto eremìtå	dove gli aveva detto l'eremita
l'à töt sö la sò piantilìnå	ha preso la sua pianticella
e pò l'è 'gnìt on gió	poi è tornato indietro
— öt fàn de chè de chèlå piantilìnå gliò?	— cosa vuoi farne di quella pianticella?
àrdå ché che bèi àlberi-che-se-àlså-che-se-śbàså!	guarda che begli alberi-che-si-alzano-e-si-abbassano!
dù bruchèi 'ssè	per due bastoncini
pié de pàciå	pieni di fango
schifóśo! —	schifoso! —
'l gh'à fina dìt gió dèle paròle	gli hanno perfino detto delle parolacce
cünta de ni-ént, lü l'è 'gnìt	non fa niente, lui è tornato
l'è andàt a cà	a casa
l'à purtàt a sò cà la sò piantilìnå	ha portato la sua pianticella
'l l'à metida 'n da sò sàlå	l'ha messa in sala
cóme lü 'l l'à pustàdå 'n térå	come lui l'ha appoggiata in terra
l'è di-entàt ün àlbero	è diventato un albero
con d'üna fiüridüra	con una gran fioritura
incredibile	incredibile
'l se alsà-å	si alzava
'l se śbasà-å	si abbassava
ål fiurì-å	fioriva
'l fà-å i früc	faceva i frutti
ü laùr, ü laùr che l'éra üna meravìgliå	era proprio una meraviglia
la sérå	alla sera
al và de déter ol rè	entra il re
cóla sò madrìgnå che l'éra la reśgìnå	con la matrigna che era la regina
madónå la èt che 'l gh'è pròpe	ha visto che c'era proprio
l'àlbero-che-se-àlså-e-che-se-śbàså	l'albero-che-si-alza-e-si-abbassa
ma 'maginàs!	immaginatevi!
ü laùr incredìbile, tüc che curìa	una cosa incredibile, tutti correvano
tüc üna meravìgliå	una gran meraviglia
dòpo l'è 'ndada a digliò ala sò amìcå, la dìs: — tè — la dìs —	poi la matrigna è andata a dirlo alla sua amica:
ål se s'è salvàt èh!	— si è salvato
— a l'è 'mpusìbel!	 — impossibile!
— te diśe che l'à purtàt dol daérå	— ti dico che ha portato davvero
l'àlbero-che-se-àlså-e-che-se-śbàså!	l'albero-che-si-alza-e-si-abbassa!
— ma nò!	— ma no!
— vé a ède —	— vieni a vedere! —
pòta la 'l credìa mìa ma d'altrónde l'éra la verità	non ci credeva, ma d'altronde era la verità
la dìs: — aspètå — la dìs — che ghe n'è amò	dice: — aspetta, c'è un'altra cosa
àrdå — la dìs —	sö 'n chèl castèl ogliò	guarda che in quel castello
al gh'è sö l'àiguå-che-bàlå —	c'è l'acqua-che-balla —
e lé la gh'à dìt ossè:	allora la matrigna gli ha detto:
— àrdå — la dìs — te gh'é ché 'ssè bèl, ossè bèl, ossè bèl	— qui è tanto bello
te manca amà argótå:	ma ti manca ancora qualcosa
